item_category,pv,cart,fav,buy,uv,pv/uv,convert_buy_rate,buy_rate
5093750,96,6,8,6,73,1.32,0.0625,0.07
887729,272,36,12,17,212,1.28,0.0625,0.07
2080793,32,7,2,2,26,1.23,0.0625,0.06
3069540,3238,219,119,202,1643,1.97,0.06238,0.11
2192512,1251,66,36,78,421,2.97,0.06235,0.15
4446527,2086,206,85,130,1008,2.07,0.06232,0.11
3483675,11690,1523,402,728,4493,2.6,0.06228,0.12
3572920,2280,266,88,142,1194,1.91,0.06228,0.1
2156156,12868,952,464,801,6132,2.1,0.06225,0.1
3631430,209,24,9,13,95,2.2,0.0622,0.12
4911515,611,59,11,38,297,2.06,0.06219,0.09
4374048,7418,616,226,461,2875,2.58,0.06215,0.12
603655,2655,281,141,165,1494,1.78,0.06215,0.09
4776297,6601,581,159,410,2956,2.23,0.06211,0.12
5091218,161,12,6,10,128,1.26,0.06211,0.07
4565729,4718,386,150,293,1689,2.79,0.0621,0.15
3231230,290,53,11,18,177,1.64,0.06207,0.08
3070861,403,53,9,25,304,1.33,0.06203,0.07
3703129,629,28,15,39,278,2.26,0.062,0.13
922588,3615,320,111,224,2352,1.54,0.06196,0.07
3679635,404,21,8,25,182,2.22,0.06188,0.1
5084833,1875,150,82,116,893,2.1,0.06187,0.1
4681109,679,42,14,42,428,1.59,0.06186,0.09
2989452,8425,574,239,521,3234,2.61,0.06184,0.14
4365013,4417,421,132,273,1638,2.7,0.06181,0.13
3626786,259,39,3,16,128,2.02,0.06178,0.1
4893662,680,44,14,42,483,1.41,0.06176,0.06
4065220,1150,86,27,71,556,2.07,0.06174,0.11
964912,5734,392,225,354,3325,1.72,0.06174,0.09
2495340,59610,4564,1907,3680,26252,2.27,0.06173,0.12
876318,18743,1710,606,1156,7900,2.37,0.06168,0.12
4722263,4475,583,281,276,2172,2.06,0.06168,0.09
2088964,1200,112,59,74,543,2.21,0.06167,0.09
1884322,42696,3693,866,2632,18901,2.26,0.06165,0.11
66556,146,10,2,9,80,1.82,0.06164,0.1
1263562,211,16,11,13,73,2.89,0.06161,0.16
1372635,471,34,9,29,158,2.98,0.06157,0.14
794153,4597,394,166,283,1555,2.96,0.06156,0.15
2517181,861,76,41,53,449,1.92,0.06156,0.1
3274111,65,9,0,4,36,1.81,0.06154,0.11
2079360,65,1,0,4,39,1.67,0.06154,0.1
963753,65,2,1,4,52,1.25,0.06154,0.05
778398,667,44,6,41,300,2.22,0.06147,0.12
2210217,3010,260,60,185,1409,2.14,0.06146,0.11
505975,179,10,6,11,91,1.97,0.06145,0.09
4820445,114,8,5,7,77,1.48,0.0614,0.07
3506316,114,21,5,7,87,1.31,0.0614,0.06
985237,929,146,33,57,560,1.66,0.06136,0.09
3637084,23853,987,272,1463,9875,2.42,0.06133,0.13
1804279,359,38,14,22,171,2.1,0.06128,0.11
651666,5240,398,147,321,1551,3.38,0.06126,0.17
4728774,8932,890,247,547,3447,2.59,0.06124,0.13
2382826,196,10,8,12,91,2.15,0.06122,0.11
1138527,49,4,2,3,23,2.13,0.06122,0.07
2033647,196,26,33,12,104,1.88,0.06122,0.09
773704,98,11,11,6,56,1.75,0.06122,0.1
2588397,49,1,0,3,33,1.48,0.06122,0.08
4533810,98,11,10,6,71,1.38,0.06122,0.07
4942468,2974,266,119,182,1254,2.37,0.0612,0.13
1813610,25021,1983,746,1531,9877,2.53,0.06119,0.13
305857,2060,197,80,126,953,2.16,0.06117,0.1
4865695,327,22,4,20,147,2.22,0.06116,0.12
1217732,802,87,39,49,512,1.57,0.0611,0.08
5056606,622,20,22,38,272,2.29,0.06109,0.1
838946,12645,1248,370,772,5051,2.5,0.06105,0.12
3282340,1507,38,58,92,806,1.87,0.06105,0.1
4830567,688,0,9,42,444,1.55,0.06105,0.07
3340592,459,30,15,28,215,2.13,0.061,0.12
1171434,8563,630,295,522,2626,3.26,0.06096,0.17
1739706,1575,140,83,96,837,1.88,0.06095,0.1
1008109,361,50,39,22,246,1.47,0.06094,0.06
3596683,788,66,36,48,474,1.66,0.06091,0.08
2028981,2266,228,145,138,871,2.6,0.0609,0.12
4328342,969,45,12,59,223,4.35,0.06089,0.22
2979796,12622,847,430,768,5369,2.35,0.06085,0.13
4901004,790,69,33,48,290,2.72,0.06076,0.15
4760804,923,50,23,56,341,2.71,0.06067,0.15
4238377,15421,1283,565,935,6593,2.34,0.06063,0.12
3425243,4141,371,128,251,1695,2.44,0.06061,0.12
4632427,132,8,2,8,65,2.03,0.06061,0.1
4190307,33,3,0,2,19,1.74,0.06061,0.1
3054014,10536,979,335,638,3049,3.46,0.06055,0.16
2465573,479,42,9,29,192,2.49,0.06054,0.13
4202143,1338,160,41,81,675,1.98,0.06054,0.1
1677989,413,13,21,25,162,2.55,0.06053,0.11
3790162,2363,247,38,143,1264,1.87,0.06052,0.09
1542241,1289,88,34,78,363,3.55,0.06051,0.13
2370324,16350,1471,493,989,5773,2.83,0.06049,0.14
388942,744,82,28,45,364,2.04,0.06048,0.11
2729610,3657,181,106,221,1403,2.61,0.06043,0.14
1255142,480,34,3,29,174,2.76,0.06042,0.14
4986145,1043,56,26,63,411,2.54,0.0604,0.13
2049210,265,15,2,16,123,2.15,0.06038,0.11
2625401,265,30,4,16,181,1.46,0.06038,0.07
228974,116,10,6,7,64,1.81,0.06034,0.09
1471163,32589,3113,844,1966,9869,3.3,0.06033,0.16
226943,1144,65,31,69,445,2.57,0.06031,0.14
5150593,199,21,12,12,147,1.35,0.0603,0.06
2013864,2007,171,43,121,834,2.41,0.06029,0.12
1524094,365,37,2,22,180,2.03,0.06027,0.11
1706459,249,29,18,15,144,1.73,0.06024,0.08
1792163,299,33,5,18,172,1.74,0.0602,0.1
4911576,299,19,6,18,173,1.73,0.0602,0.09
4447409,2045,151,64,123,958,2.13,0.06015,0.1
1073472,848,66,14,51,331,2.56,0.06014,0.12
1019845,949,80,35,57,463,2.05,0.06006,0.1
2413768,1483,86,32,89,523,2.84,0.06001,0.11
2768630,150,8,4,9,59,2.54,0.06,0.1
467470,200,12,4,12,88,2.27,0.06,0.1
756477,300,11,8,18,164,1.83,0.06,0.08
4555638,150,8,3,9,88,1.7,0.06,0.08
4096072,50,2,1,3,34,1.47,0.06,0.08
2461392,50,7,5,3,36,1.39,0.06,0.05
1415581,100,13,3,6,84,1.19,0.06,0.06
1415279,5705,465,167,342,2268,2.52,0.05995,0.13
1212101,584,52,9,35,319,1.83,0.05993,0.1
4696539,768,75,32,46,366,2.1,0.0599,0.09
3993644,11908,861,315,713,5069,2.35,0.05988,0.12
3397084,1303,97,55,78,640,2.04,0.05986,0.1
1833378,652,29,25,39,273,2.39,0.05982,0.1
3538807,3329,350,128,199,1645,2.02,0.05978,0.1
4268427,770,73,52,46,209,3.68,0.05974,0.18
1990869,10093,964,340,603,4691,2.15,0.05974,0.1
2939036,134,15,3,8,88,1.52,0.0597,0.07
219625,302,25,5,18,213,1.42,0.0596,0.05
3141832,7621,464,187,454,2657,2.87,0.05957,0.15
3753279,1494,186,50,89,717,2.08,0.05957,0.1
408119,235,14,9,14,116,2.03,0.05957,0.1
990723,1780,104,39,106,637,2.79,0.05955,0.11
3973395,14062,1287,274,837,4976,2.83,0.05952,0.14
2033408,56166,4646,2066,3343,23033,2.44,0.05952,0.12
4454958,84,0,3,5,41,2.05,0.05952,0.12
206668,84,0,5,5,56,1.5,0.05952,0.08
3965224,84,9,3,5,63,1.33,0.05952,0.07
5043656,2322,232,142,138,1143,2.03,0.05943,0.1
1879672,2662,180,63,158,1057,2.52,0.05935,0.13
1075533,3002,232,47,178,908,3.31,0.05929,0.17
2297500,58295,4207,1465,3456,24400,2.39,0.05928,0.12
4223213,3847,146,48,228,856,4.49,0.05927,0.21
629854,523,49,16,31,271,1.93,0.05927,0.09
3589047,135,1,3,8,59,2.29,0.05926,0.11
3115770,1301,68,28,77,378,3.44,0.05919,0.14
680827,659,47,23,39,285,2.31,0.05918,0.11
885811,693,41,12,41,326,2.13,0.05916,0.11
1194451,1353,117,38,80,414,3.27,0.05913,0.16
2975713,9521,705,222,563,3025,3.15,0.05913,0.16
3333989,220,8,2,13,92,2.39,0.05909,0.12
2769598,220,4,8,13,139,1.58,0.05909,0.08
5031298,1151,86,26,68,448,2.57,0.05908,0.12
143013,237,14,10,14,169,1.4,0.05907,0.07
5068521,339,18,10,20,133,2.55,0.059,0.13
4786595,339,24,11,20,180,1.88,0.059,0.1
3558290,475,39,13,28,210,2.26,0.05895,0.09
4735133,2070,165,31,122,579,3.58,0.05894,0.16
4495588,526,29,19,31,212,2.48,0.05894,0.13
4527720,3276,381,116,193,1642,2.0,0.05891,0.1
1519819,5840,385,147,344,2202,2.65,0.0589,0.12
2322896,2920,228,69,172,1368,2.13,0.0589,0.1
1723409,7659,656,276,451,4096,1.87,0.05888,0.09
2024708,85,2,0,5,33,2.58,0.05882,0.11
1492316,952,92,35,56,443,2.15,0.05882,0.11
4864953,102,6,9,6,48,2.12,0.05882,0.11
4483041,187,12,9,11,94,1.99,0.05882,0.11
3460627,646,36,20,38,329,1.96,0.05882,0.1
3060316,170,7,1,10,106,1.6,0.05882,0.06
3395271,102,7,0,6,64,1.59,0.05882,0.07
1670027,136,7,7,8,86,1.58,0.05882,0.09
3469361,85,12,6,5,57,1.49,0.05882,0.08
4894696,34,4,3,2,25,1.36,0.05882,0.07
5093036,34,4,0,2,26,1.31,0.05882,0.07
2080214,34,7,1,2,29,1.17,0.05882,0.06
2786309,3471,286,148,204,1340,2.59,0.05877,0.13
5074895,1106,95,29,65,450,2.46,0.05877,0.12
4676764,2825,232,136,166,1000,2.82,0.05876,0.13
1084665,2008,152,57,118,717,2.8,0.05876,0.13
1928278,37494,3965,1629,2203,17339,2.16,0.05876,0.11
738670,1975,117,74,116,774,2.55,0.05873,0.13
1055496,545,37,15,32,230,2.37,0.05872,0.11
4903093,1022,63,32,60,435,2.35,0.05871,0.12
3979081,869,19,12,51,448,1.94,0.05869,0.07
715319,10703,857,384,628,5271,2.03,0.05868,0.1
4260727,1534,88,25,90,539,2.85,0.05867,0.13
757910,18531,1634,714,1087,6965,2.66,0.05866,0.13
1755681,5035,575,236,295,2464,2.04,0.05859,0.1
1365517,256,20,1,15,137,1.87,0.05859,0.1
2407396,13991,1594,528,819,6403,2.19,0.05854,0.1
2759887,1333,130,61,78,529,2.52,0.05851,0.13
4474010,171,6,2,10,74,2.31,0.05848,0.09
1922400,2719,302,113,159,1190,2.28,0.05848,0.11
797511,171,28,8,10,85,2.01,0.05848,0.09
526781,1249,59,46,73,819,1.53,0.05845,0.07
3922126,8950,522,157,523,3356,2.67,0.05844,0.13
1106734,154,26,8,9,70,2.2,0.05844,0.11
2255207,925,111,34,54,358,2.58,0.05838,0.12
1913428,240,9,6,14,93,2.58,0.05833,0.11
2540361,1320,99,32,77,565,2.34,0.05833,0.12
2486102,120,11,5,7,89,1.35,0.05833,0.06
3917559,686,74,33,40,289,2.37,0.05831,0.1
2863168,12616,1161,472,735,3076,4.1,0.05826,0.17
3848953,42585,3029,1424,2481,24862,1.71,0.05826,0.08
2325377,103,9,10,6,43,2.4,0.05825,0.12
3632786,7109,647,176,414,3722,1.91,0.05824,0.1
22257,5394,394,167,314,1489,3.62,0.05821,0.18
443490,842,23,14,49,425,1.98,0.05819,0.1
2102896,275,30,13,16,153,1.8,0.05818,0.09
2316980,3886,457,195,226,1910,2.03,0.05816,0.1
4100652,3579,214,89,208,1706,2.1,0.05812,0.1
1970375,1910,168,76,111,1059,1.8,0.05812,0.09
4537973,8968,898,310,521,3404,2.63,0.0581,0.13
1390603,155,26,17,9,98,1.58,0.05806,0.07
2749188,69,4,5,4,27,2.56,0.05797,0.13
4591297,276,19,4,16,126,2.19,0.05797,0.09
4656341,69,7,3,4,60,1.15,0.05797,0.06
577329,4677,270,129,271,1687,2.77,0.05794,0.12
3028359,2694,260,69,156,779,3.46,0.05791,0.15
4829449,1365,124,50,79,481,2.84,0.05788,0.14
3294880,242,23,7,14,94,2.57,0.05785,0.12
3619575,24034,1989,1037,1390,6087,3.95,0.05783,0.18
2288113,5948,341,163,344,1782,3.34,0.05783,0.17
2814177,1038,109,41,60,349,2.97,0.0578,0.14
4532459,225,15,7,13,97,2.32,0.05778,0.13
2551289,1350,80,27,78,608,2.22,0.05778,0.11
3989777,848,106,35,49,391,2.17,0.05778,0.09
2352087,1073,116,40,62,501,2.14,0.05778,0.1
3901339,2562,272,73,148,1351,1.9,0.05777,0.09
160181,20017,1102,574,1156,7111,2.81,0.05775,0.14
2586600,381,24,7,22,129,2.95,0.05774,0.14
2990975,468,36,21,27,209,2.24,0.05769,0.11
4517665,208,19,9,12,103,2.02,0.05769,0.11
2499834,156,13,9,9,86,1.81,0.05769,0.09
2643881,52,3,3,3,32,1.62,0.05769,0.06
1282448,52,4,2,3,34,1.53,0.05769,0.06
1264985,659,36,26,38,272,2.42,0.05766,0.12
3260723,243,8,4,14,89,2.73,0.05761,0.13
1306853,2518,206,90,145,906,2.78,0.05759,0.14
1916098,191,23,7,11,122,1.57,0.05759,0.06
3496986,226,15,8,13,150,1.51,0.05752,0.07
5083254,2226,271,130,128,1098,2.03,0.0575,0.1
1173600,87,4,9,5,63,1.38,0.05747,0.07
1254330,2019,107,41,116,707,2.86,0.05745,0.13
1315415,1951,151,83,112,804,2.43,0.05741,0.12
881097,122,5,1,7,76,1.61,0.05738,0.09
3541690,1308,95,32,75,474,2.76,0.05734,0.12
3317851,192,26,4,11,159,1.21,0.05729,0.06
4701147,978,49,18,56,438,2.23,0.05726,0.09
4006013,19071,1882,795,1091,7423,2.57,0.05721,0.12
1944905,4406,578,193,252,2235,1.97,0.05719,0.09
2884555,857,79,45,49,308,2.78,0.05718,0.12
1611144,21007,1696,719,1201,7143,2.94,0.05717,0.14
4654786,44852,4738,2110,2564,19239,2.33,0.05717,0.11
4540978,14872,1592,558,850,5918,2.51,0.05715,0.12
4627431,35,3,0,2,13,2.69,0.05714,0.15
1192323,70,3,1,4,30,2.33,0.05714,0.09
1499458,35,4,2,2,15,2.33,0.05714,0.12
1254966,105,18,2,6,48,2.19,0.05714,0.1
13845,35,1,1,2,20,1.75,0.05714,0.1
236839,35,5,0,2,22,1.59,0.05714,0.08
3464133,35,2,1,2,24,1.46,0.05714,0.07
891778,35,1,1,2,26,1.35,0.05714,0.04
2880666,490,32,11,28,390,1.26,0.05714,0.06
3804045,35,6,5,2,30,1.17,0.05714,0.06
1391083,35,3,1,2,31,1.13,0.05714,0.06
4900860,35,2,0,2,31,1.13,0.05714,0.06
1272549,1401,145,69,80,692,2.02,0.0571,0.09
970338,6395,498,181,365,2134,3.0,0.05708,0.15
4156438,2787,369,160,159,1101,2.53,0.05705,0.11
808429,228,8,6,13,108,2.11,0.05702,0.09
3409341,912,47,30,52,482,1.89,0.05702,0.1
2108531,4350,318,184,248,1415,3.07,0.05701,0.13
2951233,10494,742,348,598,3959,2.65,0.05698,0.13
2895013,2774,171,67,158,860,3.23,0.05696,0.15
4718844,158,20,1,9,112,1.41,0.05696,0.07
1476223,439,50,11,25,279,1.57,0.05695,0.08
4625708,4022,277,108,229,1587,2.53,0.05694,0.12
2436637,20149,1201,517,1147,8063,2.5,0.05693,0.12
1868811,4149,381,122,236,1780,2.33,0.05688,0.1
1647415,3007,294,87,171,1393,2.16,0.05687,0.1
2912808,211,14,6,12,152,1.39,0.05687,0.07
3412811,510,57,25,29,279,1.83,0.05686,0.08
3753684,563,32,8,32,297,1.9,0.05684,0.09
1376358,35754,2795,1204,2032,16320,2.19,0.05683,0.1
4100802,88,6,0,5,58,1.52,0.05682,0.08
1995600,845,88,28,48,279,3.03,0.0568,0.14
104209,317,12,8,18,126,2.52,0.05678,0.14
1873646,634,56,20,36,339,1.87,0.05678,0.1
2204852,8846,521,273,502,4409,2.01,0.05675,0.1
1041861,441,28,11,25,239,1.85,0.05669,0.09
2899233,618,58,21,35,284,2.18,0.05663,0.11
3115438,53,4,1,3,32,1.66,0.0566,0.09
3471494,53,0,0,3,43,1.23,0.0566,0.07
3114694,442,31,14,25,211,2.09,0.05656,0.1
2650009,389,28,9,22,249,1.56,0.05656,0.08
3770161,389,44,13,22,263,1.48,0.05656,0.07
2733371,43850,3753,1655,2479,19099,2.3,0.05653,0.11
1104592,14523,1261,457,821,6788,2.14,0.05653,0.1
2003083,2778,260,359,157,750,3.7,0.05652,0.17
2449664,2353,197,54,133,1104,2.13,0.05652,0.09
4766003,230,26,6,13,156,1.47,0.05652,0.07
1901483,4004,419,173,226,1457,2.75,0.05644,0.12
1851019,443,31,4,25,141,3.14,0.05643,0.12
4661468,1188,72,22,67,481,2.47,0.0564,0.12
1694317,266,26,10,15,187,1.42,0.05639,0.07
874007,4260,252,123,240,1662,2.56,0.05634,0.13
489878,71,8,2,4,51,1.39,0.05634,0.07
4357073,515,43,34,29,200,2.58,0.05631,0.12
2155994,391,52,29,22,258,1.52,0.05627,0.07
3980291,818,91,42,46,329,2.49,0.05623,0.11
2476560,58867,5961,2158,3309,14442,4.08,0.05621,0.13
921298,196,19,16,11,100,1.96,0.05612,0.1
916918,624,55,25,35,318,1.96,0.05609,0.1
4835015,6133,568,309,344,3397,1.81,0.05609,0.08
1624041,1498,93,52,84,687,2.18,0.05607,0.1
4719814,101561,8193,2154,5692,25154,4.04,0.05605,0.17
3324385,1231,141,67,69,692,1.78,0.05605,0.09
4550135,6720,491,206,376,2190,3.07,0.05595,0.15
3158249,136027,11428,3700,7604,54906,2.48,0.0559,0.1
2507053,9123,1018,316,510,3734,2.44,0.0559,0.11
2934788,322,19,2,18,162,1.99,0.0559,0.09
741645,680,75,50,38,312,2.18,0.05588,0.1
3706169,2740,236,111,153,1189,2.3,0.05584,0.11
3189935,49861,4129,2259,2782,17512,2.85,0.0558,0.13
4239038,3477,239,92,194,2123,1.64,0.0558,0.08
3536601,7301,476,201,407,1936,3.77,0.05575,0.19
2690374,3894,404,174,217,1825,2.13,0.05573,0.1
4254099,1310,167,71,73,622,2.11,0.05573,0.09
3769292,611,42,11,34,242,2.52,0.05565,0.13
2253970,7476,608,289,416,3343,2.24,0.05564,0.1
1896675,1978,131,65,110,699,2.83,0.05561,0.13
5067029,1295,98,26,72,589,2.2,0.0556,0.11
2191219,18548,1484,477,1031,4203,4.41,0.05559,0.19
2160208,4353,296,123,242,1803,2.41,0.05559,0.11
2691737,3130,279,101,174,1572,1.99,0.05559,0.09
1732828,36,3,0,2,9,4.0,0.05556,0.2
1949910,162,10,10,9,63,2.57,0.05556,0.1
4243653,1044,72,18,58,453,2.3,0.05556,0.1
1150739,36,0,2,2,16,2.25,0.05556,0.11
625930,72,6,5,4,36,2.0,0.05556,0.1
321175,36,2,0,2,20,1.8,0.05556,0.09
1154663,162,4,2,9,92,1.76,0.05556,0.08
1125802,234,26,10,13,149,1.57,0.05556,0.08
435088,90,11,1,5,58,1.55,0.05556,0.06
7240,126,10,3,7,82,1.54,0.05556,0.07
540542,36,2,0,2,24,1.5,0.05556,0.08
846466,36,2,0,2,27,1.33,0.05556,0.07
536027,36,3,0,2,28,1.29,0.05556,0.07
1184549,54,9,2,3,42,1.29,0.05556,0.06
3367946,36,2,0,2,28,1.29,0.05556,0.06
4360362,54,8,5,3,43,1.26,0.05556,0.06
61626,3389,268,135,188,2070,1.64,0.05547,0.08
1283080,451,48,15,25,219,2.06,0.05543,0.08
4099608,632,66,33,35,292,2.16,0.05538,0.1
2586887,560,37,11,31,204,2.75,0.05536,0.13
3461439,6035,683,334,334,2605,2.32,0.05534,0.09
4524771,2241,91,67,124,910,2.46,0.05533,0.12
1009667,488,42,19,27,214,2.28,0.05533,0.1
4559624,7898,791,222,437,3557,2.22,0.05533,0.1
1566203,326,17,8,18,79,4.13,0.05521,0.2
3774512,38741,4293,1797,2138,17504,2.21,0.05519,0.1
593235,1178,89,7,65,889,1.33,0.05518,0.07
4595718,4840,359,128,267,1529,3.17,0.05517,0.13
4006644,6108,547,218,337,2045,2.99,0.05517,0.12
4301450,32889,1885,965,1814,9798,3.36,0.05516,0.16
4983640,6746,505,226,372,1900,3.55,0.05514,0.16
5109297,2340,225,68,129,1317,1.78,0.05513,0.08
4683561,1760,148,72,97,507,3.47,0.05511,0.15
3007355,4503,243,111,248,1753,2.57,0.05507,0.13
2409814,12332,1262,525,679,6083,2.03,0.05506,0.09
3971478,218,7,5,12,115,1.9,0.05505,0.1
722945,32015,1894,946,1761,14042,2.28,0.05501,0.11
3419760,9682,854,324,532,4254,2.28,0.05495,0.1
642764,182,14,4,10,113,1.61,0.05495,0.07
4892220,91,9,7,5,63,1.44,0.05495,0.07
3176755,1548,161,51,85,539,2.87,0.05491,0.13
1170772,8583,708,379,471,3998,2.15,0.05488,0.1
3980900,13193,1243,574,724,6601,2.0,0.05488,0.09
3814016,4904,300,154,269,2284,2.15,0.05485,0.1
4789674,17632,1712,513,967,5828,3.03,0.05484,0.14
1423654,2919,384,154,160,1852,1.58,0.05481,0.07
2028926,73,6,1,4,40,1.82,0.05479,0.09
890050,6772,633,272,371,2224,3.04,0.05478,0.13
1609467,21430,1879,856,1173,6803,3.15,0.05474,0.15
482114,877,44,10,48,324,2.71,0.05473,0.12
3289575,1901,176,74,104,1023,1.86,0.05471,0.09
2555621,3583,344,115,196,2125,1.69,0.0547,0.08
956971,348,41,15,19,191,1.82,0.0546,0.09
5052842,3389,370,160,185,1240,2.73,0.05459,0.08
1241067,2987,269,92,163,1345,2.22,0.05457,0.11
713731,2073,144,49,113,737,2.81,0.05451,0.12
558076,2020,163,69,110,966,2.09,0.05446,0.09
991102,863,53,51,47,450,1.92,0.05446,0.09
2466824,753,37,31,41,322,2.34,0.05445,0.11
2030976,42803,3699,885,2330,10484,4.08,0.05444,0.18
4979740,5088,377,238,277,2204,2.31,0.05444,0.11
1506018,14040,1393,393,764,4704,2.98,0.05442,0.14
4892060,3510,376,110,191,1594,2.2,0.05442,0.1
529278,921,57,28,50,335,2.75,0.05429,0.1
4435957,4791,317,80,260,1175,4.08,0.05427,0.11
3715096,2635,167,29,143,834,3.16,0.05427,0.05
3405071,4459,339,191,242,1813,2.46,0.05427,0.12
3257290,4099,293,148,222,1184,3.46,0.05416,0.16
3818023,1866,195,40,101,825,2.26,0.05413,0.1
3776866,169002,15245,5529,9146,57824,2.92,0.05412,0.12
3991166,536,66,42,29,410,1.31,0.0541,0.06
4864403,832,86,30,45,321,2.59,0.05409,0.12
1298828,2681,231,110,145,1123,2.39,0.05408,0.11
2091359,7787,599,121,421,2856,2.73,0.05406,0.12
1733194,148,9,8,8,64,2.31,0.05405,0.11
3703335,37,0,1,2,19,1.95,0.05405,0.11
1026399,37,1,1,2,22,1.68,0.05405,0.09
4985275,74,7,3,4,46,1.61,0.05405,0.08
4391390,9326,783,416,504,5447,1.71,0.05404,0.08
1230484,1481,88,33,80,658,2.25,0.05402,0.11
4968783,704,64,21,38,268,2.63,0.05398,0.13
2690744,908,94,31,49,411,2.21,0.05396,0.1
2631608,5879,576,221,317,2428,2.42,0.05392,0.11
4866356,204,12,7,11,113,1.81,0.05392,0.08
402682,204,18,1,11,149,1.37,0.05392,0.06
1891872,2634,280,143,142,1543,1.71,0.05391,0.08
4855982,167,15,9,9,86,1.94,0.05389,0.07
4715650,18225,1562,876,982,6367,2.86,0.05388,0.13
3756841,1819,102,40,98,695,2.62,0.05388,0.12
106173,6333,411,144,341,1812,3.5,0.05384,0.15
796715,223,28,5,12,122,1.83,0.05381,0.09
2133527,316,0,0,17,103,3.07,0.0538,0.13
4197505,15619,1550,461,840,5830,2.68,0.05378,0.12
2451199,1599,145,69,86,974,1.64,0.05378,0.08
24976,1060,64,34,57,500,2.12,0.05377,0.1
3090680,93,3,3,5,72,1.29,0.05376,0.07
1981996,4131,299,118,222,1929,2.14,0.05374,0.1
504559,335,21,1,18,166,2.02,0.05373,0.1
3598912,136295,13821,5455,7320,47183,2.89,0.05371,0.12
2438773,1788,199,82,96,582,3.07,0.05369,0.14
4295724,1099,91,42,59,383,2.87,0.05369,0.14
269606,3597,144,52,193,915,3.93,0.05366,0.11
1474371,42820,3745,1772,2297,19669,2.18,0.05364,0.1
2420210,373,30,12,20,175,2.13,0.05362,0.09
4286417,560,37,16,30,221,2.53,0.05357,0.12
2777825,3553,245,143,190,1059,3.36,0.05348,0.14
882707,10846,1021,367,580,4292,2.53,0.05348,0.11
1963052,14217,1003,300,759,6515,2.18,0.05339,0.1
436240,75,9,3,4,35,2.14,0.05333,0.05
134955,75,4,1,4,44,1.7,0.05333,0.08
499569,75,5,4,4,57,1.32,0.05333,0.06
1881274,544,47,15,29,210,2.59,0.05331,0.1
1973380,544,36,20,29,216,2.52,0.05331,0.12
3664107,32927,2574,1379,1755,19814,1.66,0.0533,0.07
4919077,76916,7635,2788,4099,31552,2.44,0.05329,0.11
963285,1990,195,81,106,942,2.11,0.05327,0.1
1540741,1164,62,20,62,332,3.51,0.05326,0.13
344221,11646,1051,421,620,3889,2.99,0.05324,0.12
2492895,19449,1374,711,1035,8027,2.42,0.05322,0.11
2062612,94,3,1,5,43,2.19,0.05319,0.11
4473295,846,101,27,45,511,1.66,0.05319,0.07
4410579,1148,86,51,61,349,3.29,0.05314,0.14
1521931,41349,3458,924,2196,18494,2.24,0.05311,0.1
1995431,113,5,4,6,36,3.14,0.0531,0.14
1082035,2919,181,76,155,977,2.99,0.0531,0.14
4953972,584,69,36,31,302,1.93,0.05308,0.09
4350978,19998,1827,729,1061,6573,3.04,0.05306,0.13
2495000,377,24,6,20,339,1.11,0.05305,0.05
1873826,3639,318,112,193,2493,1.46,0.05304,0.06
914596,528,30,15,28,238,2.22,0.05303,0.1
1231891,39933,3607,1517,2116,11939,3.34,0.05299,0.13
2128214,887,80,32,47,492,1.8,0.05299,0.08
203384,453,31,15,24,176,2.57,0.05298,0.11
3779369,14265,1144,411,755,4180,3.41,0.05293,0.16
3141486,359,24,5,19,161,2.23,0.05292,0.11
41527,756,76,29,40,424,1.78,0.05291,0.08
4703483,5180,546,181,274,2247,2.31,0.0529,0.1
3791692,1248,125,48,66,494,2.53,0.05288,0.12
4092319,1269,76,26,67,460,2.76,0.0528,0.13
2581941,37799,3504,1413,1994,10917,3.46,0.05275,0.16
633295,910,91,34,48,472,1.93,0.05275,0.08
1500130,1934,129,59,102,604,3.2,0.05274,0.14
467461,1859,202,72,98,871,2.13,0.05272,0.1
3780203,2524,170,57,133,923,2.73,0.05269,0.09
203249,1215,125,45,64,788,1.54,0.05267,0.07
648726,57,4,1,3,16,3.56,0.05263,0.18
3956037,171,12,3,9,68,2.51,0.05263,0.07
108181,418,43,26,22,177,2.36,0.05263,0.08
17307,304,15,3,16,150,2.03,0.05263,0.09
2462168,38,5,2,2,19,2.0,0.05263,0.09
4824790,38,3,1,2,19,2.0,0.05263,0.1
3522123,266,19,21,14,146,1.82,0.05263,0.08
2239317,57,6,0,3,32,1.78,0.05263,0.09
833103,76,7,6,4,43,1.77,0.05263,0.08
733959,76,2,4,4,45,1.69,0.05263,0.08
5101505,703,39,17,37,423,1.66,0.05263,0.07
4174165,285,17,9,15,173,1.65,0.05263,0.08
3207173,38,1,0,2,25,1.52,0.05263,0.08
807480,76,2,5,4,51,1.49,0.05263,0.07
1450058,152,17,9,8,102,1.49,0.05263,0.07
871669,76,4,6,4,52,1.46,0.05263,0.07
1277139,76,8,0,4,61,1.25,0.05263,0.06
2073722,76,4,1,4,62,1.23,0.05263,0.06
4162215,38,1,2,2,32,1.19,0.05263,0.06
3445730,1198,96,29,63,368,3.26,0.05259,0.15
2562909,6332,428,238,333,2379,2.66,0.05259,0.12
2852310,4640,356,163,244,1986,2.34,0.05259,0.1
2145555,6469,438,217,340,2539,2.55,0.05256,0.12
4672150,2455,217,101,129,1545,1.59,0.05255,0.07
